"pathway","NES","padj","gene","gene_log2FC","gene_padj"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"CCN2",-7.80301925281702,2.69279158755025e-233
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"CCN1",-7.58217516754692,2.48648936860275e-184
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"COL11A1",-5.97911231595359,0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"THBS1",-5.16471413946792,0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"DAB2",-4.75916780426494,3.62467344947086e-153
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"NNMT",-4.32554072935394,1.92839564559738e-89
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"ITGB3",-4.24773261828121,2.94707693785138e-230
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"ABI3BP",-3.92593960471013,1.71327769923472e-200
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"TNFRSF11B",-3.89148438255399,1.59295852244743e-05
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"VCAM1",-3.70225048286617,4.51312467541353e-112
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"IGFBP3",-3.6914073879696,6.23368607481849e-59
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"VIM",-3.55651227831258,1.00761218053013e-115
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"CDH11",-3.51266605280108,1.84652099612702e-194
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"PTX3",-3.368551232106,2.5864171413152e-21
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"VCAN",-3.3430689830481,8.25270594826487e-197
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.0594886782831,4.40887927249929e-07,"IL6",-3.31529599703815,1.75600716160925e-44
